GeneSymbol	counts
MIR6735	0
HYI	0
PTPRF	1936
KDM4A	216
KDM4A-AS1	11
ST3GAL3	28
ST3GAL3-AS1	1
MIR6079	0
ARTN	0
IPO13	1436
DPH2	209
ATP6V0B	408
B4GALT2	1210
CCDC24	51
SLC6A9	1
KLF17	12
KLF18	0
DMAP1	16
ERI3	0
ERI3-IT1	0
RNF220	16
MIR5584	0
TMEM53	132
ARMH1	0
RNU5F-1	0
RNU5D-1	0
KIF2C	0
RPS8	582
SNORD55	0
SNORD46	0
SNORD38A	0
SNORD38B	0
BEST4	82
PLK3	240
DYNLT4	8
BTBD19	84
PTCH2	2
EIF2B3	7
HECTD3	9
UROD	216
ZSWIM5	12
LINC01144	4
HPDL	17
MUTYH	25
TOE1	265
TESK2	1
CCDC163	0
MMACHC	11
PRDX1	3
AKR1A1	42
NASP	27
CCDC17	119
GPBP1L1	114
RPS15AP10	513
TMEM69	13
IPP	27
MAST2	12
PIK3R3	4
LOC101929626	0
TSPAN1	15
POMGNT1	996
LURAP1	552
RAD54L	0
LRRC41	13
UQCRH	19
NSUN4	635
FAAH	7
FAAHP1	0
LINC01398	0
DMBX1	96
MKNK1-AS1	0
KNCN	0
MKNK1	3
MOB3C	33
ATPAF1	151
TEX38	0
EFCAB14-AS1	0
EFCAB14	995
CYP4B1	50
CYP4Z2P	1
CYP4A11	5
CYP4X1	177
CYP4Z1	25
CYP4A22	3
LINC00853	0
PDZK1IP1	92
TAL1	1
STIL	1
CMPK1	224
LINC01389	0
FOXE3	9
FOXD2-AS1	235
FOXD2	118
TRABD2B	14
SKINT1L	0
SLC5A9	3
SPATA6	6
AGBL4	6
BEND5	1
AGBL4-AS1	0
AGBL4-IT1	0
ELAVL4	0
DMRTA2	0
FAF1	9
CDKN2C	99
MIR4421	0
MIR6500	0
C1orf185	0
RNF11	29
TTC39A	107
TTC39A-AS1	0
EPS15	25
OSBPL9	102
NRDC	19
MIR761	0
RAB3B	7
TXNDC12	11
KTI12	0
TXNDC12-AS1	0
BTF3L4	0
ZFYVE9	2
CC2D1B	47
ORC1	0
PRPF38A	0
TUT4	278
NA	0
GPX7	4
SHISAL2A	12
COA7	4
ZYG11B	14
ZYG11A	2
ECHDC2	87
SCP2	370
NA	0
NA	1
NA	0
PODN	40
SLC1A7	39
CPT2	220
CZIB	7
MAGOH	0
MAGOH-DT	0
LRP8	33
SLC25A3P1	0
DMRTB1	0
GLIS1	0
NA	0
NDC1	1
YIPF1	270
DIO1	0
IFT25	7
LRRC42	1
LDLRAD1	5
TMEM59	4
TCEANC2	51
MIR4781	0
CDCP2	0
CYB5RL	58
MRPL37	27
SSBP3	25
SSBP3-AS1	0
ACOT11	40
FAM151A	0
MROH7	0
MROH7-TTC4	0
TTC4	2
PARS2	0
TTC22	7
CIMAP2	1
DHCR24	36
NA	0
TMEM61	1
BSND	0
PCSK9	10
USP24	1263
LOC100507634	34
MIR4422	0
PLPP3	1477
PRKAA2	1
FYB2	76
C8A	60
C8B	4
DAB1	0
DAB1-AS1	0
OMA1	16
TACSTD2	351
MYSM1	12
JUN	20
JUN-DT	0
LINC01358	0
HSD52	0
FGGY	670
MIR4711	0
LOC101926944	0
HOOK1	35
CYP2J2	4
C1orf87	3
LOC101926964	0
NFIA-AS2	0
NFIA	426
NFIA-AS1	0
MGC34796	0
TM2D1	9
PATJ	437
MIR3116-1	0
MIR3116-2	0
L1TD1	3
KANK4	15
USP1	17
DOCK7	64
ANGPTL3	0
ATG4C	155
LINC00466	0
FOXD3-AS1	0
FOXD3	5
MIR6068	0
ALG6	4
ITGB3BP	1
EFCAB7	74
DLEU2L	11
PGM1	17
ROR1	3
ROR1-AS1	0
UBE2U	0
CACHD1	695
MIR4794	0
RAVER2	0
JAK1	1304
LINC01359	0
NA	0
MIR3671	0
MIR101-1	0
AK4	3
DNAJC6	49
LEPROT	1714
LEPR	0
PDE4B	13
PDE4B-AS1	0
SGIP1	7
MIR3117	0
DYNLT5	31
INSL5	0
DNAI4	0
MIER1	1040
SLC35D1	470
C1orf141	0
IL23R	2
IL12RB2	1
SERBP1	13
GADD45A	29
GNG12	128
GNG12-AS1	0
DIRAS3	145
WLS	457
MIR1262	0
RPE65	0
DEPDC1	1
DEPDC1-AS1	0
LRRC7	0
PIN1P1	221
LRRC40	66
SRSF11	79
ANKRD13C	9
ANKRD13C-DT	104
CTH	64
LINC01788	0
PTGER3	0
ZRANB2-AS1	0
ZRANB2	77
MIR186	0
ZRANB2-DT	0
NEGR1	1
NEGR1-IT1	0
LINC01360	0
LRRIQ3	31
FPGT-TNNI3K	0
FPGT	0
TNNI3K	0
NA	0
LRRC53	0
ERICH3	0
ERICH3-AS1	0
CRYZ	19
TYW3	0
LHX8	0
SLC44A5	0
ACADM	2
DLSTP1	1142
RABGGTB	26
SNORD45C	0
SNORD45A	0
SNORD45B	0
MSH4	2
ASB17	0
LOC101927342	0
ST6GALNAC3	33
ST6GALNAC5	2
MIR7156	0
PIGK	339
AK5	1
ZZZ3	11
USP33	722
MIGA1	3
NEXN-AS1	0
NEXN	427
FUBP1	179
DNAJB4	195
GIPC2	0
MGC27382	59
PTGFR	89
IFI44L	4
IFI44	18
ADGRL4	0
LINC01781	0
ADGRL2	69
LOC101927434	0
LINC01361	0
LINC01725	0
LOC101927560	0
TTLL7	6
PRKACB	56
SAMD13	0
UOX	0
DNASE2B	23
RPF1	0
GNG5	14
SPATA1	0
CTBS	12
LINC01461	0
LINC01555	0
SSX2IP	1
LPAR3	0
MCOLN2	32
MCOLN3	102
DNAI3	66
MIR4423	0
SYDE2	1
C1orf52	4
BCL10	251
BCL10-AS1	0
DDAH1	17
CCN1	161
ZNHIT6	2
COL24A1	3
ODF2L	11
MIR7856	0
CLCA2	0
CLCA1	0
CLCA4	0
CLCA3P	0
CLCA4-AS1	0
SH3GLB1	3
SELENOF	108
HS2ST1	444
LINC01140	0
LINC02801	0
NA	0
LMO4	86
LINC01364	0
PKN2-AS1	0
PKN2	10
GTF2B	41
KYAT3	0
RBMXL1	8
GBP3	18
GBP1	640
GBP2	1046
GBP7	0
GBP4	15
GBP5	4
LOC729930	3
GBP6	3
GBP1P1	0
LRRC8B	14
LRRC8C	544
LRRC8C-DT	3
LRRC8D	168
NA	0
GEMIN8P4	183
ZNF326	142
BARHL2	0
ZNF644	1
HFM1	8
CDC7	1
TGFBR3	65
BRDT	2
EPHX4	25
SETSIP	31
BTBD8	1
NA	66
C1orf146	0
GLMN	5
RPAP2	9
GFI1	1
EVI5	10
RPL5	28
DIPK1A	0
SNORD21	0
SNORA66	4308
MTF2	8
TMED5	468
CCDC18	26
CCDC18-AS1	10
DR1	196
FNBP1L	415
NA	0
BCAR3	6
BCAR3-AS1	4
MIR760	0
TRR-TCT1-1	0
DNTTIP2	5
GCLM	22
ABCA4	1
ARHGAP29	2
ABCD3	12
F3	35
SLC44A3-AS1	0
MIR378G	0
SLC44A3	3
CNN3	260
NA	0
CNN3-DT	7
ALG14	69
ALG14-AS1	0
TLCD4	2
TLCD4-RWDD3	0
RWDD3-DT	0
RWDD3	0
LINC01761	0
LINC02607	0
LINC02790	0
LINC01787	0
PTBP2	6
DPYD	118
DPYD-AS1	0
DPYD-AS2	0
MIR137HG	0
MIR2682	0
MIR137	0
LINC01776	0
SNX7	18
PLPPR5	0
PLPPR5-AS1	0
PLPPR4	0
LINC01708	0
PALMD	528
FRRS1	2
AGL	5
SLC35A3	208
MFSD14A	926
SASS6	0
TRMT13	0
LRRC39	0
DBT	8
